id,ww,ep,ew,rew,ab,difab
26.0,3742.617,2.938,87.6,-4.631,6.238,
26.0,3808.729,2.557,87.4,-4.639,6.205,
26.0,3949.953,2.174,96.7,-4.611,6.09,
26.0,3977.741,2.196,114.9,-4.539,6.404,
26.0,4058.217,3.209,43.7,-4.968,6.032,
26.0,4062.441,2.845,76.9,-4.723,5.926,
26.0,4067.978,3.209,71.5,-4.755,5.843,
26.0,4070.771,3.239,52.1,-4.893,5.888,
26.0,4114.445,2.832,50.0,-4.915,5.883,
26.0,4132.899,2.845,67.1,-4.79,5.877,
26.0,4134.677,2.832,87.6,-4.674,5.892,
26.0,4136.998,3.415,62.0,-4.824,5.805,
26.0,4147.668,1.485,85.2,-4.687,5.936,
26.0,4150.249,3.428,22.6,-5.264,5.84,
26.0,4153.899,3.397,79.2,-4.72,5.948,
26.0,4154.499,2.832,78.5,-4.724,5.749,
26.0,4154.805,3.368,72.2,-4.76,5.874,
26.0,4157.78,3.417,64.0,-4.813,5.786,
26.0,4158.792,3.428,46.2,-4.954,5.798,
26.0,4174.913,0.915,73.5,-4.754,5.992,
26.0,4175.636,2.845,86.2,-4.685,6.045,
26.0,4176.566,3.368,63.2,-4.82,6.119,
26.0,4181.754,2.832,101.3,-4.616,5.91,
26.0,4182.382,3.017,45.8,-4.961,5.866,
26.0,4184.892,2.832,75.3,-4.745,5.875,
26.0,4187.039,2.45,112.2,-4.572,5.888,
26.0,4187.795,2.425,120.7,-4.54,6.041,
26.0,4191.43,2.469,109.6,-4.583,5.968,
26.0,4195.329,3.332,69.4,-4.781,5.878,
26.0,4213.647,2.845,42.4,-4.997,5.746,
26.0,4216.184,0.0,99.3,-4.628,5.95,
26.0,4217.545,3.43,63.2,-4.824,5.859,
26.0,4222.213,2.45,89.4,-4.674,5.833,
26.0,4233.603,2.482,106.1,-4.601,5.833,
26.0,4238.81,3.397,77.8,-4.736,5.822,
26.0,4250.119,2.469,121.4,-4.544,5.936,
26.0,4271.153,2.45,125.6,-4.532,5.929,
26.0,4282.403,2.176,118.7,-4.557,6.049,
26.0,4337.045,1.557,120.3,-4.557,6.316,
26.0,4352.735,2.223,90.2,-4.684,5.938,
26.0,4375.93,0.0,114.5,-4.582,5.923,
26.0,4388.407,3.603,42.3,-5.016,5.871,
26.0,4427.31,0.052,118.3,-4.573,5.941,
26.0,4430.614,2.223,65.9,-4.828,5.847,
26.0,4442.339,2.198,93.7,-4.676,5.906,
26.0,4443.194,2.858,90.3,-4.692,6.325,
26.0,4447.717,2.221,84.0,-4.724,5.832,
26.0,4459.117,2.176,115.7,-4.586,6.341,
26.0,4461.653,0.087,102.6,-4.638,5.91,
26.0,4466.551,2.832,89.4,-4.699,5.839,
26.0,4484.22,3.6,39.3,-5.057,5.768,
26.0,4489.739,0.121,59.2,-4.88,5.903,
26.0,4494.563,2.198,99.3,-4.656,5.891,
26.0,4531.148,1.485,85.1,-4.726,5.923,
26.0,4547.847,3.544,31.2,-5.164,5.703,
26.0,4592.651,1.557,74.2,-4.792,6.089,
26.0,4595.358,3.301,29.4,-5.194,6.405,
26.0,4602.941,1.485,78.1,-4.77,5.844,
26.0,4607.647,3.263,24.2,-5.28,5.824,
26.0,4619.288,3.6,23.2,-5.299,5.86,
26.0,4630.12,2.279,22.7,-5.31,6.065,
26.0,4637.503,3.281,24.4,-5.279,5.805,
26.0,4647.434,2.949,44.2,-5.022,5.907,
26.0,4668.134,3.263,39.9,-5.068,5.878,
26.0,4733.591,1.485,35.6,-5.124,5.92,
26.0,4736.773,3.211,64.0,-4.869,5.883,
26.0,4786.807,3.017,31.4,-5.183,6.0,
26.0,4789.651,3.547,30.9,-5.19,5.867,
26.0,4871.318,2.865,103.9,-4.671,5.819,
26.0,4872.138,2.88,92.3,-4.723,5.876,
26.0,4890.755,2.876,105.4,-4.667,5.889,
26.0,4891.492,2.849,112.3,-4.639,5.752,
26.0,4903.31,2.88,69.1,-4.851,5.761,
26.0,4918.994,2.863,102.3,-4.682,5.806,
26.0,4920.502,2.83,135.7,-4.559,5.95,
26.0,4939.687,0.858,52.3,-4.975,5.797,
26.0,4946.39,3.37,33.2,-5.173,5.881,
26.0,4966.09,3.33,47.8,-5.017,5.766,
26.0,4994.13,0.914,67.6,-4.869,5.806,
26.0,5001.86,3.88,56.7,-4.946,5.681,
26.0,5005.71,3.88,51.7,-4.986,5.712,
26.0,5006.119,2.83,87.9,-4.756,5.742,
26.0,5012.068,0.858,97.4,-4.711,5.895,
26.0,5014.94,3.94,45.5,-5.042,5.726,
26.0,5022.24,3.98,32.2,-5.193,5.681,
26.0,5049.82,2.28,78.7,-4.807,5.765,
26.0,5051.635,0.914,83.7,-4.781,5.863,
26.0,5079.224,2.196,48.9,-5.016,5.947,
26.0,5083.339,0.957,68.5,-4.87,5.727,
26.0,5110.413,0.0,88.2,-4.763,5.98,
26.0,5123.72,1.01,71.3,-4.856,6.043,
26.0,5127.36,0.914,53.6,-4.981,5.864,
26.0,5133.69,4.18,61.2,-4.924,5.677,
26.0,5150.84,0.989,56.9,-4.957,5.774,
26.0,5166.282,0.0,58.3,-4.948,5.858,
26.0,5171.596,1.484,104.6,-4.694,5.797,
26.0,5191.454,3.036,97.1,-4.728,6.038,
26.0,5192.344,2.996,88.9,-4.766,5.72,
26.0,5194.94,1.56,83.8,-4.792,5.842,
26.0,5198.71,2.22,39.2,-5.123,5.84,
26.0,5202.34,2.18,69.6,-4.874,5.992,
26.0,5215.18,3.27,45.0,-5.064,5.721,
26.0,5216.274,1.607,75.9,-4.837,5.748,
26.0,5217.39,3.21,37.6,-5.142,5.747,
26.0,5232.94,2.938,108.5,-4.683,5.794,
26.0,5242.49,3.63,23.7,-5.345,5.79,
26.0,5263.31,3.27,45.2,-5.066,5.735,
26.0,5266.555,2.996,90.8,-4.763,5.826,
26.0,5283.621,3.239,70.2,-4.877,5.677,
26.0,5307.36,1.61,29.0,-5.262,5.89,
26.0,5324.18,3.21,91.3,-4.766,5.666,
26.0,5332.9,1.56,36.7,-5.162,5.768,
26.0,5339.93,3.27,58.3,-4.962,5.701,
26.0,5341.02,1.61,90.2,-4.772,5.866,
26.0,5383.369,4.309,67.7,-4.9,5.765,
26.0,5397.128,0.914,125.7,-4.633,5.855,
26.0,5405.775,0.989,129.1,-4.622,5.867,
26.0,5424.068,4.317,69.8,-4.89,5.788,
26.0,5429.696,0.957,133.0,-4.611,5.944,
26.0,5434.524,1.01,110.7,-4.691,5.801,
26.0,5497.516,1.01,82.6,-4.823,5.978,
26.0,5501.465,0.957,63.2,-4.94,5.828,
26.0,5506.779,0.989,75.2,-4.865,5.79,
26.0,5569.62,3.42,57.1,-4.989,5.715,
26.0,5586.76,3.37,84.6,-4.82,5.697,
26.0,5624.542,3.414,44.7,-5.1,5.749,
26.0,5762.992,4.209,29.7,-5.288,5.872,
26.0,6065.482,2.607,50.1,-5.083,5.775,
26.0,6191.558,2.431,65.8,-4.974,5.904,
26.0,6219.28,2.2,26.3,-5.374,5.829,
26.0,6230.722,2.557,67.8,-4.963,5.743,
26.0,6246.32,3.6,33.0,-5.277,5.72,
26.0,6252.56,2.4,54.9,-5.056,5.785,
26.0,6265.134,2.174,22.0,-5.455,5.815,
26.0,6301.5,3.65,30.2,-5.319,5.657,
26.0,6336.82,3.69,24.2,-5.418,5.706,
26.0,6411.65,3.65,41.8,-5.186,5.743,
26.0,6421.35,2.28,45.0,-5.154,5.843,
26.0,6430.846,2.174,53.1,-5.083,5.779,
26.0,6494.98,2.402,78.3,-4.919,5.727,
26.0,6677.985,2.69,55.5,-5.08,5.857,
26.0,7495.067,4.22,40.5,-5.267,5.77,
26.0,7511.021,4.175,53.3,-5.149,5.715,
26.0,8220.379,4.317,58.0,-5.151,5.704,
26.0,8688.624,2.174,111.0,-4.894,5.788,
26.1,4178.854,2.583,101.8,-4.613,6.07,
26.1,4233.163,2.583,137.7,-4.488,6.135,
26.1,4491.4,2.856,69.0,-4.814,5.884,
26.1,4515.334,2.844,85.5,-4.723,5.867,
26.1,4555.888,2.828,96.8,-4.673,5.958,
26.1,4576.328,2.844,55.5,-4.916,5.92,
26.1,4582.835,2.844,43.3,-5.025,5.866,
26.1,4583.829,2.807,125.8,-4.562,5.968,
26.1,4620.513,2.828,34.5,-5.127,5.831,
26.1,4629.332,2.807,91.5,-4.704,5.835,
26.1,4731.439,2.891,49.9,-4.977,6.058,
26.1,5197.568,3.23,81.1,-4.807,5.799,
26.1,5234.624,3.221,82.7,-4.801,6.0,
26.1,5275.997,3.199,95.0,-4.745,5.849,
26.1,5325.543,3.221,24.8,-5.332,6.068,
26.1,5534.839,3.245,47.5,-5.066,6.139,
26.1,6247.559,3.892,32.1,-5.289,6.002,
26.1,6432.677,2.891,21.0,-5.486,5.847,
26.1,6456.381,3.903,45.6,-5.151,6.043,
26.1,6516.077,2.891,34.3,-5.279,5.993,
