id,ww,ep,ew,rew,ab,difab
26.0,3742.617,2.938,72.8,-4.711,5.907,
26.0,3808.729,2.557,68.8,-4.743,5.804,
26.0,3949.953,2.174,85.1,-4.667,5.788,
26.0,3977.741,2.196,87.4,-4.658,5.711,
26.0,4058.217,3.209,45.2,-4.953,6.05,
26.0,4062.441,2.845,73.3,-4.744,5.831,
26.0,4067.978,3.209,71.6,-4.754,5.821,
26.0,4070.771,3.239,53.6,-4.881,5.901,
26.0,4107.488,2.832,96.9,-4.627,6.282,
26.0,4114.445,2.832,47.5,-4.938,5.833,
26.0,4132.899,2.845,63.1,-4.816,5.79,
26.0,4134.677,2.832,89.8,-4.663,5.887,
26.0,4136.998,3.415,64.0,-4.811,5.819,
26.0,4147.668,1.485,85.8,-4.684,5.912,
26.0,4150.249,3.428,23.5,-5.247,5.86,
26.0,4153.899,3.397,69.4,-4.777,5.752,
26.0,4154.499,2.832,75.5,-4.741,5.665,
26.0,4154.805,3.368,70.1,-4.773,5.816,
26.0,4157.78,3.417,65.1,-4.805,5.786,
26.0,4158.792,3.428,47.0,-4.947,5.804,
26.0,4175.636,2.845,82.7,-4.703,5.941,
26.0,4176.566,3.368,61.9,-4.829,6.082,
26.0,4181.754,2.832,100.5,-4.619,5.835,
26.0,4182.382,3.017,44.2,-4.976,5.833,
26.0,4184.892,2.832,76.7,-4.737,5.871,
26.0,4187.039,2.45,111.8,-4.573,5.823,
26.0,4187.795,2.425,120.0,-4.543,5.968,
26.0,4191.43,2.469,107.2,-4.592,5.865,
26.0,4195.329,3.332,73.1,-4.759,5.918,
26.0,4213.647,2.845,43.4,-4.987,5.758,
26.0,4217.545,3.43,65.0,-4.812,5.871,
26.0,4222.213,2.45,88.5,-4.679,5.776,
26.0,4233.603,2.482,101.4,-4.621,5.688,
26.0,4238.81,3.397,72.4,-4.768,5.703,
26.0,4250.119,2.469,117.4,-4.559,5.799,
26.0,4271.153,2.45,114.9,-4.57,5.661,
26.0,4282.403,2.176,122.7,-4.543,6.066,
26.0,4337.045,1.557,95.7,-4.656,5.73,
26.0,4352.735,2.223,87.0,-4.699,5.837,
26.0,4388.407,3.603,44.0,-4.999,5.895,
26.0,4430.614,2.223,68.5,-4.811,5.872,
26.0,4442.339,2.198,95.0,-4.67,5.891,
26.0,4447.717,2.221,87.3,-4.707,5.859,
26.0,4466.551,2.832,86.9,-4.711,5.754,
26.0,4484.22,3.6,42.1,-5.027,5.811,
26.0,4494.563,2.198,99.9,-4.653,5.849,
26.0,4531.148,1.485,89.6,-4.704,5.97,
26.0,4547.847,3.544,34.7,-5.117,5.765,
26.0,4592.651,1.557,77.6,-4.772,6.122,
26.0,4602.0,1.608,23.0,-5.301,5.966,
26.0,4602.941,1.485,82.0,-4.749,5.883,
26.0,4607.647,3.263,29.5,-5.194,5.935,
26.0,4619.288,3.6,28.1,-5.216,5.966,
26.0,4630.12,2.279,27.2,-5.231,6.164,
26.0,4637.503,3.281,26.8,-5.238,5.858,
26.0,4647.434,2.949,44.1,-5.023,5.898,
26.0,4668.134,3.263,41.6,-5.05,5.903,
26.0,4733.591,1.485,39.0,-5.084,5.975,
26.0,4736.773,3.211,68.7,-4.839,5.94,
26.0,4786.807,3.017,36.8,-5.114,6.096,
26.0,4789.651,3.547,35.4,-5.131,5.948,
26.0,4871.318,2.865,103.9,-4.671,5.773,
26.0,4872.138,2.88,93.1,-4.719,5.853,
26.0,4890.755,2.876,109.1,-4.652,5.91,
26.0,4891.492,2.849,117.0,-4.621,5.788,
26.0,4903.31,2.88,73.6,-4.824,5.813,
26.0,4918.994,2.863,106.2,-4.666,5.833,
26.0,4920.502,2.83,138.8,-4.55,5.947,
26.0,4946.39,3.37,39.6,-5.097,5.991,
26.0,4966.09,3.33,50.5,-4.993,5.801,
26.0,5001.86,3.88,60.0,-4.921,5.721,
26.0,5005.71,3.88,56.6,-4.947,5.78,
26.0,5006.119,2.83,92.4,-4.734,5.789,
26.0,5014.94,3.94,49.2,-5.008,5.778,
26.0,5022.24,3.98,37.1,-5.132,5.767,
26.0,5028.13,3.57,23.3,-5.334,5.775,
26.0,5039.25,3.37,22.7,-5.346,6.066,
26.0,5049.82,2.28,84.0,-4.779,5.824,
26.0,5079.224,2.196,53.4,-4.978,6.013,
26.0,5133.69,4.18,65.3,-4.896,5.728,
26.0,5171.596,1.484,107.9,-4.681,5.807,
26.0,5191.454,3.036,102.3,-4.705,6.091,
26.0,5192.344,2.996,93.2,-4.746,5.762,
26.0,5194.94,1.56,88.7,-4.768,5.898,
26.0,5198.71,2.22,44.6,-5.067,5.919,
26.0,5202.34,2.18,75.4,-4.839,6.064,
26.0,5215.18,3.27,49.7,-5.021,5.789,
26.0,5216.274,1.607,80.1,-4.814,5.793,
26.0,5217.39,3.21,42.1,-5.093,5.819,
26.0,5232.94,2.938,112.8,-4.666,5.824,
26.0,5242.49,3.63,28.9,-5.259,5.901,
26.0,5263.31,3.27,49.0,-5.031,5.788,
26.0,5266.555,2.996,94.4,-4.747,5.853,
26.0,5283.621,3.239,76.4,-4.84,5.755,
26.0,5307.36,1.61,35.1,-5.18,6.003,
26.0,5324.18,3.21,96.5,-4.742,5.72,
26.0,5332.9,1.56,42.6,-5.098,5.861,
26.0,5339.93,3.27,62.9,-4.929,5.758,
26.0,5341.02,1.61,95.5,-4.748,5.923,
26.0,5383.369,4.309,71.2,-4.879,5.801,
26.0,5424.068,4.317,75.4,-4.857,5.856,
26.0,5554.9,4.55,20.4,-5.435,5.909,
26.0,5569.62,3.42,60.7,-4.963,5.754,
26.0,5586.76,3.37,87.8,-4.804,5.725,
26.0,5624.542,3.414,50.6,-5.046,5.834,
26.0,5662.516,4.175,25.3,-5.35,5.795,
26.0,5762.992,4.209,34.7,-5.22,5.964,
26.0,6065.482,2.607,55.9,-5.035,5.853,
26.0,6191.558,2.431,72.4,-4.932,5.988,
26.0,6219.28,2.2,33.2,-5.273,5.963,
26.0,6230.722,2.557,73.6,-4.928,5.813,
26.0,6246.32,3.6,38.9,-5.206,5.822,
26.0,6252.56,2.4,63.6,-4.993,5.904,
26.0,6265.134,2.174,28.3,-5.345,5.955,
26.0,6301.5,3.65,36.8,-5.234,5.776,
26.0,6336.82,3.69,31.4,-5.305,5.856,
26.0,6408.02,3.69,25.4,-5.402,5.871,
26.0,6411.65,3.65,48.6,-5.12,5.845,
26.0,6421.35,2.28,50.9,-5.101,5.926,
26.0,6430.846,2.174,59.1,-5.037,5.857,
26.0,6494.98,2.402,83.2,-4.892,5.78,
26.0,6677.985,2.69,60.7,-5.041,5.927,
26.0,7495.067,4.22,48.4,-5.19,5.893,
26.0,7511.021,4.175,61.4,-5.088,5.828,
26.0,8220.379,4.317,66.7,-5.091,5.821,
26.0,8688.624,2.174,125.1,-4.842,5.969,
26.1,4178.854,2.583,100.7,-4.618,5.991,
26.1,4233.163,2.583,133.5,-4.501,5.993,
26.1,4491.4,2.856,72.8,-4.79,5.922,
26.1,4515.334,2.844,88.4,-4.708,5.882,
26.1,4555.888,2.828,98.4,-4.666,5.942,
26.1,4576.328,2.844,59.5,-4.886,5.967,
26.1,4582.835,2.844,46.9,-4.99,5.917,
26.1,4583.829,2.807,130.1,-4.547,5.985,
26.1,4620.513,2.828,38.9,-5.075,5.904,
26.1,4629.332,2.807,95.1,-4.687,5.858,
26.1,4731.439,2.891,54.5,-4.939,6.115,
26.1,5197.568,3.23,86.1,-4.781,5.849,
26.1,5234.624,3.221,87.8,-4.775,6.052,
26.1,5275.997,3.199,101.0,-4.718,5.909,
26.1,5325.543,3.221,29.6,-5.255,6.164,
26.1,5534.839,3.245,53.9,-5.012,6.226,
26.1,6247.559,3.892,38.3,-5.213,6.108,
26.1,6432.677,2.891,26.9,-5.379,5.978,
26.1,6456.381,3.903,51.5,-5.098,6.125,
26.1,6516.077,2.891,40.3,-5.209,6.092,
